Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
main_body,-0.00462482034298556,-7.72723613950892E-05,0.0137950803533556,0,0,0,1.03359725029313,0.0016139879539522,-5.366768549397E-07,-5.95600212021384E-07,0.00160428977142187,9.13377581199397E-08,0.00305929998385753,1.63764102160116E-16,-1.04324447545304E-15,0.0185,3.14159265358979,0,2.35619449019236,package://gimbalrotor/meshes/main_body.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,1.63764102160116E-16,-1.04324447545304E-15,0.0185,3.14159265358979,0,2.35619449019236,package://gimbalrotor/meshes/main_body.3dxml,,main_body_link_vanilla-1,main_body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
gimbal1_link,-0.0061543571832175,2.02344799955032E-06,0.00258056279461697,0,0,0,0.308825311849622,6.23139432038947E-05,-6.80218913011022E-09,-2.71244742730139E-06,6.42832899579805E-05,-5.73083772407336E-09,6.89107151163971E-05,-0.315500000000002,8.30227005581504E-16,0.0185,3.14159265358979,-2.77555756156282E-17,-1.57079632679489,package://gimbalrotor/meshes/gimbal1_link.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,-0.315500000000002,8.30227005581504E-16,0.0185,3.14159265358979,-2.77555756156282E-17,-1.57079632679489,package://gimbalrotor/meshes/gimbal1_link.3dxml,,gimbal_module_mn4010_kv470-4,gimbal1_link,gimbal1,gimbal1,revolute,-0.22309,-0.22309,0,0,0,-2.3562,main_body,1,0,0,1.5,6,-3.14,3.14,,,,,,,,
thrust1,-3.90447923992454E-09,2.30010885643358E-08,0.00419839111910028,0,0,0,0.0172928285355672,0.000132814047308871,-6.27243278095286E-06,-3.04213085195885E-13,1.02207952913888E-06,-3.00688010181912E-13,0.000133587732946345,-0.315500000000001,3.43756814998384E-16,-0.0375,3.14159265358979,-1.52895683241216E-17,-1.57079632679489,package://gimbalrotor/meshes/thrust1.3dxml,0.501960784313725,0.501960784313725,0.501960784313725,1,-0.315500000000001,3.43756814998384E-16,-0.0375,3.14159265358979,-1.52895683241216E-17,-1.57079632679489,package://gimbalrotor/meshes/thrust1.3dxml,,T-motor-CFProp-15x5-6,thrust1,rotor1,rotor1,continuous,0,0,0.056,0,0,0,gimbal1_link,0,0,-1,0,0,0,27.6,,,,,,,,
gimbal2_link,-0.0061543571832175,2.02344799955111E-06,0.00258056279461695,0,0,0,0.308825311849623,6.23139432038948E-05,-6.80218913009929E-09,-2.7124474273014E-06,6.42832899579805E-05,-5.73083772406979E-09,6.89107151163972E-05,-0.315499999999999,1.58905509516455E-15,0.0185,3.14159265358979,-3.74043203685751E-17,-3.14159265358979,package://gimbalrotor/meshes/gimbal2_link.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,-0.315499999999999,1.58905509516455E-15,0.0185,3.14159265358979,-3.74043203685751E-17,-3.14159265358979,package://gimbalrotor/meshes/gimbal2_link.3dxml,,gimbal_module_mn4010_kv470-3,gimbal2_link,gimbal2,gimbal2,revolute,0.22309,-0.22309,0,0,0,-0.7854,main_body,1,0,0,1.5,6,-3.14,3.14,,,,,,,,
thrust2,-1.30508629458959E-08,1.85095488362644E-07,0.00419843988070346,0,0,0,0.0172932093865153,0.00013281236489956,6.27225423023414E-06,-7.99839179017161E-14,1.02205641696451E-06,3.025237661732E-12,0.000133586033085267,-0.315499999999999,1.10281552571633E-15,-0.0375,3.14159265358979,-9.86366603259434E-17,-3.14159265358979,package://gimbalrotor/meshes/thrust2.3dxml,0.501960784313725,0.501960784313725,0.501960784313725,1,-0.315499999999999,1.10281552571633E-15,-0.0375,3.14159265358979,-9.86366603259434E-17,-3.14159265358979,package://gimbalrotor/meshes/thrust2.3dxml,,T-motor-CFProp-15x5-7,thrust2,rotor2,rotor2,continuous,0,0,0.056,0,0,0,gimbal2_link,0,0,1,0,0,0,27.6,,,,,,,,
gimbal3_link,-0.00615435718321899,2.0234479995473E-06,0.002580562794617,0,0,0,0.308825311849623,6.23139432038948E-05,-6.80218913009913E-09,-2.71244742730139E-06,6.42832899579805E-05,-5.73083772407073E-09,6.89107151163971E-05,-0.315500000000001,-8.80697369439052E-16,0.0185,-3.14159265358979,-2.77555756156294E-17,1.5707963267949,package://gimbalrotor/meshes/gimbal3_link.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,-0.315500000000001,-8.80697369439052E-16,0.0185,-3.14159265358979,-2.77555756156294E-17,1.5707963267949,package://gimbalrotor/meshes/gimbal3_link.3dxml,,gimbal_module_mn4010_kv470-2,gimbal3_link,gimbal3,gimbal3,revolute,0.22309,0.22309,0,0,0,0.7854,main_body,1,0,0,1.5,6,-3.14,3.14,,,,,,,,
thrust3,5.83452963720532E-09,-5.91908131602234E-10,0.00419839092638537,0,0,0,0.0172928313440091,0.000132814029105212,-6.27243221426146E-06,2.95243892069162E-13,1.02207952004091E-06,-1.24906779391424E-14,0.000133587714747096,-0.3155,-1.36716756002217E-15,-0.0375,-3.14159265358979,-4.02215829071359E-17,1.5707963267949,package://gimbalrotor/meshes/thrust3.3dxml,0.501960784313725,0.501960784313725,0.501960784313725,1,-0.3155,-1.36716756002217E-15,-0.0375,-3.14159265358979,-4.02215829071359E-17,1.5707963267949,package://gimbalrotor/meshes/thrust3.3dxml,,T-motor-CFProp-15x5-5,thrust3,rotor3,rotor3,continuous,0,0,0.056,0,0,0,gimbal3_link,0,0,-1,0,0,0,27.6,,,,,,,,
gimbal4_link,-0.00615435718321755,2.02344799954969E-06,0.00258056279461696,0,0,0,0.308825311849623,6.23139432038948E-05,-6.80218913011076E-09,-2.7124474273014E-06,6.42832899579806E-05,-5.73083772407164E-09,6.89107151163971E-05,-0.315500000000001,-1.60223584983753E-15,0.0185,-3.14159265358979,2.51544593857654E-16,1.12130844599232E-16,package://gimbalrotor/meshes/gimbal4_link.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,-0.315500000000001,-1.60223584983753E-15,0.0185,-3.14159265358979,2.51544593857654E-16,1.12130844599232E-16,package://gimbalrotor/meshes/gimbal4_link.3dxml,,gimbal_module_mn4010_kv470-1,gimbal4_link,gimbal4,gimbal4,revolute,-0.22309,0.22309,0,0,0,2.3562,main_body,1,0,0,1.5,6,-3.14,3.14,,,,,,,,
thrust4,-2.59015725534439E-09,2.94869426286333E-09,0.00419843814070694,0,0,0,0.017293238730581,0.00013281274906218,6.27228613960569E-06,-1.77493503318E-13,1.02205918959433E-06,1.85598427852344E-13,0.000133586419954865,-0.3155,-2.08847541928575E-15,-0.0374999999999999,-3.14159265358979,3.12776933815023E-16,5.08985046418704E-17,package://gimbalrotor/meshes/thrust4.3dxml,0.501960784313725,0.501960784313725,0.501960784313725,1,-0.3155,-2.08847541928575E-15,-0.0374999999999999,-3.14159265358979,3.12776933815023E-16,5.08985046418704E-17,package://gimbalrotor/meshes/thrust4.3dxml,,T-motor-CFProp-15x5-1,thrust4,rotor4,rotor4,continuous,0,0,0.056,0,0,0,gimbal4_link,0,0,1,0,0,0,27.6,,,,,,,,
fc,0.0187002711962543,0.00169857186981875,-0.00124990288529885,0,0,0,0.0134869851240831,1.81746685536929E-06,3.52111681460635E-09,2.41443574658866E-11,1.81309403254674E-06,-1.82051260509328E-10,3.61332371658314E-06,0.0172999968682442,0.00110000084294011,-0.03856099896,3.14159265358979,-1.98346832673126E-15,2.35619449019234,package://gimbalrotor/meshes/fc.3dxml,1,1,1,1,0.0172999968682442,0.00110000084294011,-0.03856099896,3.14159265358979,-1.98346832673126E-15,2.35619449019234,package://gimbalrotor/meshes/fc.3dxml,,Spinal_4_1-1,fc,Axis_fc_joint,fc_joint,fixed,-0.0172999968682441,-0.00110000084294132,0.05706099896,0,0,0,main_body,0,0,0,,,,,,,,,,,,
